method,sim_seed,N_sim,total_wait,mean_wait_all,mean_wait_served,mean_oracle_outcome_served,num_unserved,frac_unserved,sim_wall_s,alloc_0,alloc_1,N,ipw_value
S2-knn,9,5000,0.0,0.0,0.0,,0,0.0,0.015388965606689453,0.752,0.248,200,0.04494258989303332
random,10,5000,50075.80022000923,10.015160044001846,10.015160044001846,,0,0.0,0.022127151489257812,0.5032,0.4968,200,0.04337750741873452
treat_all,10,5000,11101948.75236157,2220.389750472314,1910.9504598892534,,1238,0.2476,0.01405787467956543,0.0,1.0,200,0.04687417834476838
F,10,5000,5694.249536876088,1.1388499073752176,1.1388499073752176,,0,0.0,0.015417098999023438,0.5394,0.4606,200,0.04392541735135207
S2-linear,10,5000,642119.6935234108,128.42393870468217,128.42393870468217,,0,0.0,0.015265226364135742,0.4544,0.5456,200,0.04519950416524283
S2-lasso,10,5000,1.3156259120644131,0.0002631251824128826,0.0002631251824128826,,0,0.0,0.015404224395751953,0.763,0.237,200,0.045202667490557805
S2-knn,10,5000,1.3156259120644131,0.0002631251824128826,0.0002631251824128826,,0,0.0,0.015362977981567383,0.7552,0.2448,200,0.04494258989303332
random,11,5000,0.9738784306367245,0.0001947756861273449,0.0001947756861273449,,0,0.0,0.022344350814819336,0.5032,0.4968,200,0.04337750741873452
treat_all,11,5000,10574783.867560476,2114.9567735120954,1820.2858302277305,,1079,0.2158,0.014190196990966797,0.0,1.0,200,0.04687417834476838
F,11,5000,2.1484074073441097,0.00042968148146882196,0.00042968148146882196,,0,0.0,0.015648841857910156,0.5334,0.4666,200,0.04392541735135207
S2-linear,11,5000,13880.641175281486,2.776128235056297,2.776128235056297,,0,0.0,0.015566110610961914,0.4736,0.5264,200,0.04519950416524283
S2-lasso,11,5000,3.2071127929698413,0.0006414225585939683,0.0006414225585939683,,0,0.0,0.01558995246887207,0.762,0.238,200,0.045202667490557805
